id	original_id	source_page	question
kubernetes-train-manualv2-01136	kubernetes-train-manualv2-01136	contribute	Where does Kubernetes point people for the broader contributor experience?
kubernetes-train-manualv2-01137	kubernetes-train-manualv2-01137	contribute	What should you read if you want to contribute to the Kubernetes documentation website specifically?
kubernetes-train-manualv2-01138	kubernetes-train-manualv2-01138	contribute	What should you read if you want to help with the official Kubernetes blogs?
kubernetes-train-manualv2-01139	kubernetes-train-manualv2-01139	contribute_analytics	What analytics technology powers the kubernetes.io site analytics dashboard?
kubernetes-train-manualv2-01140	kubernetes-train-manualv2-01140	contribute_analytics	Since when does the kubernetes.io analytics dashboard show GA4 data?
kubernetes-train-manualv2-01141	kubernetes-train-manualv2-01141	contribute_analytics	What date range does the analytics dashboard show by default?
kubernetes-train-manualv2-01142	kubernetes-train-manualv2-01142	contribute_analytics	What kinds of filters does the analytics dashboard offer besides date range?
kubernetes-train-manualv2-01143	kubernetes-train-manualv2-01143	contribute_generate-ref-docs	What is the purpose of the Updating Reference Documentation section?
kubernetes-train-manualv2-01144	kubernetes-train-manualv2-01144	contribute_generate-ref-docs	What quickstart does the reference documentation index point readers to?
kubernetes-train-manualv2-01145	kubernetes-train-manualv2-01145	contribute_generate-ref-docs_prerequisites-ref-docs	Which operating systems are required for the reference-doc generation prerequisites page?
kubernetes-train-manualv2-01146	kubernetes-train-manualv2-01146	contribute_generate-ref-docs_prerequisites-ref-docs	Which Python version family is required for generating reference docs?
kubernetes-train-manualv2-01147	kubernetes-train-manualv2-01147	contribute_generate-ref-docs_prerequisites-ref-docs	Which YAML library and minimum version are listed in the reference-doc prerequisites?
kubernetes-train-manualv2-01148	kubernetes-train-manualv2-01148	contribute_generate-ref-docs_prerequisites-ref-docs	What does the reference-doc prerequisites page say contributors need to know before contributing?
kubernetes-train-manualv2-01149	kubernetes-train-manualv2-01149	contribute_generate-ref-docs_contribute-upstream	What upstream repository does the contribute-upstream page focus on?
kubernetes-train-manualv2-01150	kubernetes-train-manualv2-01150	contribute_generate-ref-docs_contribute-upstream	Which Kubernetes components are explicitly mentioned as examples of generated reference docs from upstream code?
kubernetes-train-manualv2-01151	kubernetes-train-manualv2-01151	contribute_generate-ref-docs_contribute-upstream	Which tools are listed as required before contributing upstream code for reference docs?
kubernetes-train-manualv2-01152	kubernetes-train-manualv2-01152	contribute_generate-ref-docs_contribute-upstream	What environment variables or PATH setup are required before contributing upstream code for generated docs?
kubernetes-train-manualv2-01153	kubernetes-train-manualv2-01153	contribute_generate-ref-docs_contribute-upstream	What is the big-picture source for generated Kubernetes API and kube-* reference docs?
kubernetes-train-manualv2-01154	kubernetes-train-manualv2-01154	contribute_generate-ref-docs_contribute-upstream	If you want to change generated Kubernetes API reference docs, what is the first step?
kubernetes-train-manualv2-01155	kubernetes-train-manualv2-01155	contribute_generate-ref-docs_contribute-upstream	Which branch does the upstream contribution example tell you to check out before editing?
kubernetes-train-manualv2-01156	kubernetes-train-manualv2-01156	contribute_generate-ref-docs_contribute-upstream	After editing the upstream source, which scripts generate the OpenAPI spec and related files?
kubernetes-train-manualv2-01157	kubernetes-train-manualv2-01157	contribute_generate-ref-docs_contribute-upstream	Why is it important to keep the source-edit commit separate from the generated-files commit?
